measurement,created_at,app,rails,ruby,platform
0,2009-12-09T20:09:39Z,master.1805d3f,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-09T20:11:52Z,master.1805d3f,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-09T20:12:34Z,master.1805d3f,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-09T20:17:28Z,master.1805d3f,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-09T20:18:50Z,master.1805d3f,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-09T20:22:32Z,master.1805d3f,2.3.4,ruby-1.8.7.72,i486-linux
0.130859375,2009-12-09T20:26:36Z,master.1805d3f,2.3.4,ruby-1.8.7.72,i486-linux
0.0185546875,2009-12-15T17:25:52Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.017578125,2009-12-16T11:18:08Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.0185546875,2009-12-16T11:19:35Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.0185546875,2009-12-16T11:21:54Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.0224609375,2009-12-16T11:22:16Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.0185546875,2009-12-16T11:26:00Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.0263671875,2009-12-16T11:26:21Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.0185546875,2009-12-16T11:26:36Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.0244140625,2009-12-16T11:27:25Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.01953125,2009-12-16T11:27:44Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.0205078125,2009-12-16T11:28:15Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.01953125,2009-12-16T11:30:15Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.0185546875,2009-12-16T11:32:10Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.0205078125,2009-12-16T11:32:32Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.01953125,2009-12-16T11:33:33Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.0234375,2009-12-16T11:37:18Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.01953125,2009-12-16T11:37:39Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.021484375,2009-12-16T11:39:25Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.01953125,2009-12-16T11:40:46Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.0185546875,2009-12-16T11:42:03Z,,2.3.4,ruby-1.8.7.72,i486-linux
