measurement,created_at,app,rails,ruby,platform
0,2009-12-16T11:18:09Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:19:35Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:21:54Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:22:17Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:26:01Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:26:21Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:26:37Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:27:25Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:27:44Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:28:15Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:30:15Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:32:10Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:32:32Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:33:34Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:37:19Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:37:39Z,,2.3.4,ruby-1.8.7.72,i486-linux
