measurement,created_at,app,rails,ruby,platform
0,2009-12-16T11:26:04Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:26:25Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:26:40Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:27:29Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:27:48Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:28:19Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:30:19Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:32:14Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:32:36Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:33:38Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:37:23Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:37:44Z,,2.3.4,ruby-1.8.7.72,i486-linux
