measurement,created_at,app,rails,ruby,platform
0,2009-12-16T11:26:05Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:26:26Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:26:41Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:27:30Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:27:49Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:28:20Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:30:19Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:32:14Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:32:37Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:33:39Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:37:24Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:37:45Z,,2.3.4,ruby-1.8.7.72,i486-linux
