measurement,created_at,app,rails,ruby,platform
0,2009-12-16T11:26:03Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:26:24Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:26:39Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:27:27Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:27:46Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:28:17Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:30:17Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:32:12Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:32:35Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:33:37Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:37:22Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:37:42Z,,2.3.4,ruby-1.8.7.72,i486-linux
