measurement,created_at,app,rails,ruby,platform
0,2009-12-16T11:26:03Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:26:24Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:26:40Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:27:28Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:27:47Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:28:18Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:30:18Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:32:13Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:32:35Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:33:38Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:37:23Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:37:43Z,,2.3.4,ruby-1.8.7.72,i486-linux
