measurement,created_at,app,rails,ruby,platform
0.18359375,2009-12-16T11:26:02Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.1708984375,2009-12-16T11:26:23Z,,2.3.4,ruby-1.8.7.72,i486-linux
0,2009-12-16T11:26:38Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.1767578125,2009-12-16T11:27:27Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.1796875,2009-12-16T11:27:46Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.171875,2009-12-16T11:28:17Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.1708984375,2009-12-16T11:30:17Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.1748046875,2009-12-16T11:32:12Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.173828125,2009-12-16T11:32:34Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.173828125,2009-12-16T11:33:36Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.181640625,2009-12-16T11:37:21Z,,2.3.4,ruby-1.8.7.72,i486-linux
0.181640625,2009-12-16T11:37:42Z,,2.3.4,ruby-1.8.7.72,i486-linux
